Country,Year,HPI,Inflation_Rate,GDP,GDP_Growth_Rate,Total_Refugees,Total_Asylum,Population,HPI_Growth,Rugees_Growth,Refugees_per_1000
Belgium,2010,91.6,2.18929920422457,481556503720.0009,2.7103114134645807,17891,18288,10895586,NA,NA,1.6420410981107394
Belgium,2011,94.88,3.53208210722742,527196649048.6392,1.9311549785905129,22396,19006,11038264,3.5807860262008746,25.180258230395168,2.0289422322205737
Belgium,2012,97.11,2.83966343445899,498414364944.96106,0.21580367322044933,22023,15023,11106932,2.350337268128166,-1.665475977853188,1.9828157766699213
Belgium,2013,98.55,1.1130959402754,524097026598.5505,0.3054944785623803,25617,11479,11159407,1.4828544949026852,16.319302547336875,2.2955520844431967
Belgium,2014,98.22,0.340002833356922,537987419164.3511,1.7655403820308777,29170,9943,11209057,-0.3348554033485523,13.869695905063045,2.6023598595314485
Belgium,2015,100,0.561429152790065,461044767544.531,1.4741643858801297,35302,35996,11274196,1.8122581958867858,21.02159753171066,3.131221064455505
Belgium,2016,102.33,1.97385264653181,474271566739.7288,1.193502639951106,42158,24098,11331422,2.3299999999999983,19.42099597756501,3.720450972525778
Belgium,2017,105.95,2.12597086002607,500908767351.5303,1.4744676565309192,42158,18760,11375158,3.5375745138278165,0,3.7061463234181007
Belgium,2018,109.15,2.05316499865186,542638913427.9212,1.8779685721940207,42158,19550,11427054,3.0202925908447407,0,3.6893148487790466
Belgium,2019,113.23,1.43681956996429,536726344405.4893,2.442890066486086,61662,10862,11488980,3.7379752633989902,46.26405427202429,5.367056083307657
Belgium,2020,118.09,0.740791812220344,529694473501.7913,-4.792983897262644,64973,29305,11538604,4.292148723836439,5.369595536959554,5.630923810194023
Belgium,2021,125.96,2.44024851144084,598494036474.4089,6.202554015860812,74063,28955,11586195,6.664408501989999,13.990426792667723,6.3923488254772165
Belgium,2022,132.93,9.597511728725,593438820508.1735,4.2334318336916965,150713,41810,11680210,5.5335026992696195,103.4929721993438,12.903278280099416
Belgium,2023,136.05,4.04901077613941,644782756682.7565,1.2517006320359485,167831,44600,11787423,2.3470999774317343,11.358011584932951,14.238141788921972
Bulgaria,2010,105.81,2.43899060504113,50760929302.51474,1.5553596346203165,5519,1392,7395599,-22.2271223814774,-96.71157295136179,0.7462546306255924
Bulgaria,2011,99.98,4.21990346601873,57737040780.015656,2.0901752701553846,5676,1381,7348328,-5.509876193176447,2.8447182460590685,0.7724206105116701
Bulgaria,2012,98.07,2.95456829831022,54288135058.79262,0.7488148967965742,2273,1270,7305888,-1.910382076415294,-59.95419309372798,0.31111892216250786
Bulgaria,2013,95.92,0.890093540913002,55852123989.95043,-0.5427516030301547,4305,4539,7265115,-2.192311614153147,89.39727232732072,0.5925577227614429
Bulgaria,2014,97.29,-1.4181838026484,57157782909.93072,0.949448985090484,11026,6735,7223938,1.428273561301089,156.12078977932637,1.526314317758541
Bulgaria,2015,100,-0.104633261008385,50811995688.67711,3.3975532586942165,16543,9488,7177991,2.785486689279467,50.03627788862688,2.3046838593138386
Bulgaria,2016,107.02,-0.79864988645371,53964253211.83995,3.026628931389183,17794,16030,7127822,7.019999999999996,7.5621108626004965,2.4964147533426058
Bulgaria,2017,116.3,2.06159619443141,59309748166.11794,2.7459264470779345,19166,2712,7075947,8.671276396935154,7.710464201416207,2.7086127128990647
Bulgaria,2018,123.96,2.81454473824829,66289266348.65045,2.5494643471817966,19906,1560,7025037,6.586414445399826,3.861003861003861,2.8335793818594834
Bulgaria,2019,131.42,3.10372944796781,68631726289.27937,3.788850364780032,20438,1054,6975761,6.018070345272664,2.6725610368733044,2.9298595522409667
Bulgaria,2020,137.41,1.67244096855756,70716821234.59674,-3.215737434450162,21113,1938,6934015,4.5579059503880766,3.302671494275369,3.0448448698192894
Bulgaria,2021,149.33,3.29774435299515,84417951260.8091,7.780614814069779,22830,7547,6877743,8.674768939669613,8.13243025624023,3.3194028913264133
Bulgaria,2022,169.92,15.3252589264366,90642851835.89964,4.03877758301681,176297,11165,6643324,13.788254202102706,672.2163819535699,26.537468291475772
Bulgaria,2023,186.67,9.44284140088564,102407653020.6062,1.886814839071775,97618,11941,6446596,9.857580037664784,-44.62866639818034,15.142565161520903
Czechia,2010,95.2,1.47272727272722,211168667286.26968,2.714665115018505,2424,1031,10474410,-49.00091069802324,-97.5168514003565,0.23142114925804888
Czechia,2011,95.3,1.9172191363555,231429378717.31192,1.77238083691023,2424,909,10496088,0.10504201680671672,0,0.23094318568975414
Czechia,2012,93.9,3.28762306610411,210363223087.72824,-0.7706681764955192,2780,566,10510785,-1.4690451206715547,14.686468646864686,0.26449023550572104
Czechia,2013,93.9,1.4382978723404,213024360541.11865,-0.0418124078092319,2966,292,10514272,0,6.6906474820143895,0.2820927592514251
Czechia,2014,96.2,0.343988589646794,210911285077.68277,2.245212186064876,3129,459,10525347,2.4494142705005295,5.495616992582603,0.29728236038203776
Czechia,2015,100,0.309364548494975,189107698561.9188,4.95875849031782,3640,654,10546059,3.950103950103947,16.331096196868007,0.3451526300014062
Czechia,2016,107.2,0.683504209385703,198160659303.93896,2.580870146757832,3640,769,10566332,7.200000000000002,0,0.3444904059421945
Czechia,2017,119.7,2.4505339846014,221563575696.2173,5.17356528805017,3640,799,10594438,11.66044776119403,0,0.3435765068425527
