Country,Year,HPI,HPIgrowth
Belgium,2005,72.85,NA
Belgium,2006,80,9.81468771448182
Belgium,2007,86.2,7.750000000000004
Belgium,2008,89.95,4.3503480278422275
Belgium,2009,89.58,-0.41133963312952143
Belgium,2010,91.6,2.2549676267023844
Belgium,2011,94.88,3.5807860262008746
Belgium,2012,97.11,2.350337268128166
Belgium,2013,98.55,1.4828544949026852
Belgium,2014,98.22,-0.3348554033485523
Belgium,2015,100,1.8122581958867858
Belgium,2016,102.33,2.3299999999999983
Belgium,2017,105.95,3.5375745138278165
Belgium,2018,109.15,3.0202925908447407
Belgium,2019,113.23,3.7379752633989902
Belgium,2020,118.09,4.292148723836439
Belgium,2021,125.96,6.664408501989999
Belgium,2022,132.93,5.5335026992696195
Belgium,2023,136.05,2.3470999774317343
Bulgaria,2005,80.09,-41.13193678794561
Bulgaria,2006,91.86,14.695967037083276
Bulgaria,2007,118.42,28.913564119312003
Bulgaria,2008,147.97,24.95355514271238
Bulgaria,2009,117.79,-20.396026221531386
Bulgaria,2010,105.81,-10.170642669156978
Bulgaria,2011,99.98,-5.509876193176447
Bulgaria,2012,98.07,-1.910382076415294
Bulgaria,2013,95.92,-2.192311614153147
Bulgaria,2014,97.29,1.428273561301089
Bulgaria,2015,100,2.785486689279467
Bulgaria,2016,107.02,7.019999999999996
Bulgaria,2017,116.3,8.671276396935154
Bulgaria,2018,123.96,6.586414445399826
Bulgaria,2019,131.42,6.018070345272664
Bulgaria,2020,137.41,4.5579059503880766
Bulgaria,2021,149.33,8.674768939669613
Bulgaria,2022,169.92,13.788254202102706
Bulgaria,2023,186.67,9.857580037664784
Czechia,2005,NA,NA
Czechia,2006,NA,NA
Czechia,2007,NA,NA
Czechia,2008,100.8,NA
Czechia,2009,96.9,-3.8690476190476106
Czechia,2010,95.2,-1.7543859649122835
Czechia,2011,95.3,0.10504201680671672
Czechia,2012,93.9,-1.4690451206715547
Czechia,2013,93.9,0
Czechia,2014,96.2,2.4494142705005295
Czechia,2015,100,3.950103950103947
Czechia,2016,107.2,7.200000000000002
Czechia,2017,119.7,11.66044776119403
Czechia,2018,130,8.604845446950707
Czechia,2019,141.9,9.153846153846159
Czechia,2020,153.9,8.456659619450317
Czechia,2021,184.2,19.68810916179336
Czechia,2022,215.3,16.88382193268188
Czechia,2023,211.7,-1.6720854621458534
Denmark,2005,82.93,-60.82664147378365
Denmark,2006,102.89,24.068491498854446
Denmark,2007,105.65,2.6824764311400573
Denmark,2008,100.19,-5.168007572172274
Denmark,2009,88.19,-11.977243237848088
Denmark,2010,90.66,2.800771062478738
Denmark,2011,89.12,-1.69865431281711
Denmark,2012,86.71,-2.704219030520658
Denmark,2013,90.09,3.8980509745127554
Denmark,2014,93.49,3.7740037740037646
Denmark,2015,100,6.963311584126651
Denmark,2016,104.57,4.569999999999993
Denmark,2017,109.75,4.953619584967014
Denmark,2018,114.59,4.410022779043284
Denmark,2019,117.13,2.216598307007585
Denmark,2020,122.18,4.311448817553156
Denmark,2021,136.28,11.540350302831882
Denmark,2022,142.7,4.710889345465209
Denmark,2023,137.28,-3.798177995795366
Germany,2005,83.3,-39.32109557109557
Germany,2006,83,-0.36014405762304585
Germany,2007,81.2,-2.168674698795177
Germany,2008,82.3,1.354679802955658
Germany,2009,83,0.8505467800729074
Germany,2010,83.9,1.0843373493975972
Germany,2011,86.8,3.4564958283670935
Germany,2012,89.8,3.4562211981566824
Germany,2013,92.6,3.1180400890868567
Germany,2014,95.5,3.131749460043203
Germany,2015,100,4.712041884816754
Germany,2016,107.5,7.5
Germany,2017,114.1,6.139534883720925
Germany,2018,121.7,6.660823838737957
Germany,2019,128.7,5.751848808545592
Germany,2020,138.7,7.770007770007771
Germany,2021,154.7,11.535688536409518
Germany,2022,162.5,5.042016806722697
Germany,2023,148.7,-8.4923076923077
Estonia,2005,59.01,-60.316072629455284
Estonia,2006,88.22,49.50008473140146
Estonia,2007,106.54,20.76626615279983
Estonia,2008,96.29,-9.620799699643326
Estonia,2009,60.47,-37.200124623533085
Estonia,2010,63.9,5.672234165702
Estonia,2011,69.32,8.482003129890446
Estonia,2012,74.37,7.285054818234293
Estonia,2013,82.29,10.64945542557483
Estonia,2014,93.58,13.719771539676742
Estonia,2015,100,6.860440265013894
Estonia,2016,104.75,4.75
Estonia,2017,110.51,5.4988066825775705
Estonia,2018,117.07,5.936114378789239
Estonia,2019,125.27,7.004356367984969
Estonia,2020,132.79,6.003033447752851
Estonia,2021,152.78,15.053844415995188
Estonia,2022,186.76,22.241131038093982
Estonia,2023,197.72,5.868494324266442
Ireland,2005,131.89,-33.294557960752584
Ireland,2006,151.5,14.86845098187885
Ireland,2007,162.81,7.465346534653467
Ireland,2008,151.51,-6.940605613905787
Ireland,2009,122.49,-19.15385123094185
Ireland,2010,105.96,-13.49497918197404
Ireland,2011,87.86,-17.081917704794257
Ireland,2012,76.04,-13.453221033462318
Ireland,2013,76.99,1.2493424513413842
Ireland,2014,89.72,16.534614885050015
Ireland,2015,100,11.457868925546146
Ireland,2016,107.46,7.459999999999995
Ireland,2017,119.14,10.869160617904344
Ireland,2018,131.33,10.231660231660241
Ireland,2019,134.41,2.3452371887611236
Ireland,2020,134.82,0.30503682761699025
Ireland,2021,145.98,8.277703604806407
Ireland,2022,163.96,12.316755719961652
Ireland,2023,168.99,3.0678214198585025
Spain,2005,NA,NA
Spain,2006,135.5,NA
Spain,2007,148.79,9.808118081180805
Spain,2008,146.66,-1.4315478190738595
