Country,Year,HPI,HPIgrowth,post_2015,post_2019
Belgium,2005,72.85,NA,0,0
Belgium,2006,80,9.81468771448182,0,0
Belgium,2007,86.2,7.750000000000004,0,0
Belgium,2008,89.95,4.3503480278422275,0,0
Belgium,2009,89.58,-0.41133963312952143,0,0
Belgium,2010,91.6,2.2549676267023844,0,0
Belgium,2011,94.88,3.5807860262008746,0,0
Belgium,2012,97.11,2.350337268128166,0,0
Belgium,2013,98.55,1.4828544949026852,0,0
Belgium,2014,98.22,-0.3348554033485523,0,0
Belgium,2015,100,1.8122581958867858,0,0
Belgium,2016,102.33,2.3299999999999983,1,0
Belgium,2017,105.95,3.5375745138278165,1,0
Belgium,2018,109.15,3.0202925908447407,1,0
Belgium,2019,113.23,3.7379752633989902,1,0
Belgium,2020,118.09,4.292148723836439,1,1
Belgium,2021,125.96,6.664408501989999,1,1
Belgium,2022,132.93,5.5335026992696195,1,1
Belgium,2023,136.05,2.3470999774317343,1,1
Bulgaria,2005,80.09,-41.13193678794561,0,0
Bulgaria,2006,91.86,14.695967037083276,0,0
Bulgaria,2007,118.42,28.913564119312003,0,0
Bulgaria,2008,147.97,24.95355514271238,0,0
Bulgaria,2009,117.79,-20.396026221531386,0,0
Bulgaria,2010,105.81,-10.170642669156978,0,0
Bulgaria,2011,99.98,-5.509876193176447,0,0
Bulgaria,2012,98.07,-1.910382076415294,0,0
Bulgaria,2013,95.92,-2.192311614153147,0,0
Bulgaria,2014,97.29,1.428273561301089,0,0
Bulgaria,2015,100,2.785486689279467,0,0
Bulgaria,2016,107.02,7.019999999999996,1,0
Bulgaria,2017,116.3,8.671276396935154,1,0
Bulgaria,2018,123.96,6.586414445399826,1,0
Bulgaria,2019,131.42,6.018070345272664,1,0
Bulgaria,2020,137.41,4.5579059503880766,1,1
Bulgaria,2021,149.33,8.674768939669613,1,1
Bulgaria,2022,169.92,13.788254202102706,1,1
Bulgaria,2023,186.67,9.857580037664784,1,1
Czechia,2005,NA,NA,0,0
Czechia,2006,NA,NA,0,0
Czechia,2007,NA,NA,0,0
Czechia,2008,100.8,NA,0,0
